ASTAP/CCDCIEL DEEPSKY DATABASE (extract from HNSKY database), 30000 objects. Based on SAC81, Wolfgang Steinicke's REV NGC&IC, Leda, Sh2,vdB,HCG,LND,PK.DWB, Barnard's DN. GX>=1_arcmin. IAU named stars included. GC of M31, M33 added. Version 2024-05-17.
RA[0..864000], DEC[-324000..324000], name(s), length [0.1 min], width[0.1 min], orientation[degrees]
795470,-1151,Sadalmelik/α_Aqr
202587,76113,Tianguan/ζ_Tau
142818,-48631,Zaurak/γ_Eri
651485,-109527,Alnasl/γ2_Sgr
687246,49909,Okab/ζ_Aql
788357,-134513,Aldhanab/γ_Gru
552437,258602,Pherkad/γ_UMi
607122,-136971,Xamidimura/μ1_Sco
228188,-108228,Furud/ζ_CMa
181181,157764,Almaaz/ε_Aur
523247,137910,Seginus/γ_Boo
702433,100655,Albireo/β1_Cyg
732607,-53213,Dabih/β1_Cap
242359,90472,Mebsuta/ε_Gem
373397,149398,Tania_Australis/μ_UMa
691533,243582,Altais/δ_Dra
621019,89421,Sarin/δ_Her
323525,172951,Talitha/ι_UMa
210576,-128766,Wazn/β_Col
617272,236573,Aldhibah/ζ_Dra
183909,148444,Haedus/η_Aur
641915,-133356,Fuyue/-_Sco
173904,25061,Tabit/π3_Ori
851608,279476,Errai/γ_Cep
773196,254019,Alfirk/β_Cep
586993,-16893,Yed_Posterior/ε_Oph
542442,-91015,Brachium/σ_Lib
683366,117682,Sulafat/γ_Lyr
824790,-56955,Skat/δ_Aqr
554958,212278,Edasich/ι_Dra
224927,81024,Propus/η_Gem
441256,205317,Megrez/δ_UMa
404544,55546,Chertan/θ_Leo
243174,46424,Alzirr/ξ_Gem
306159,218585,Muscida/ο_UMa
68637,229212,Segin/ε_Cas
620789,51805,Rasalgethi/α1_Her
488816,-2145,Heze/ζ_Vir
201083,35763,Meissa/λ_Ori
465362,12231,Minelauva/δ_Vir
816877,38993,Homam/ζ_Peg
67849,106484,Mothallah/α_Tri
370014,84302,Adhafera/ζ_Leo
281577,-89495,Azmidi/ξ_Pup
370258,154492,Tania_Borealis/λ_UMa
29463,208135,Achird/η_Cas
316065,23108,Ashlesha/ε_Hya
407087,119139,Alula_Borealis/ν_UMa
541168,145406,Nekkar/β_Boo
253031,-100565,Unurgunite/σ_CMa
264074,79136,Wasat/δ_Gem
822002,88566,Sadalbari/μ_Peg
798120,22312,Biham/θ_Peg
678048,120106,Sheliak/β_Lyr
348690,35612,Subra/ο_Leo
297909,33068,Tarf/β_Cnc
161170,69050,Ain/ε_Tau
97980,11649,Kaffaljidhma/γ_Cet
607401,-136863,Pipirima/μ2_Sco
730833,-45161,Algedi/α2_Cap
58796,175062,Nembus/51_And
426417,6353,Zavijava/β_Vir
444816,-217444,Ginan/ε_Cru
101990,98138,Bharani/41_Ari
137497,86592,Atlas/27_Tau
742529,52542,Rotanev/β_Del
155876,56260,Prima_Hyadum/γ_Tau
556697,104781,Nusakan/β_CrB
506633,231753,Thuban/α_Dra
22183,194029,Fulu/ζ_Cas
780055,-59984,Nashira/γ_Cap
181487,147873,Saclateni/ζ_Aur
423630,172006,Taiyangshou/χ_UMa
717188,23064,Alshain/β_Aql
134925,86808,Electra/17_Tau
161197,57135,Chamukuy/θ2_Tau
644117,204742,Grumium/ξ_Dra
127758,-34050,Ran/ε_Eri
66876,-37206,Baten_Kaitos/ζ_Cet
102418,201224,Miram/η_Per
743783,57283,Sualocin/α_Del
748606,-34185,Albali/ε_Aqr
157761,63153,Secunda_Hyadum/δ_Tau
113698,161487,Misam/κ_Per
391987,123174,Praecipua/46_LMi
165330,-110024,Theemin/υ2_Eri
73228,9949,Alrescha/α_Psc
414842,249592,Giausar/λ_Dra
594548,7142,Marfik/λ_Oph
134591,116238,Atik/ο_Per
656258,-75812,Polis/μ_Sgr
115245,-104355,Dalim/α_For
804994,-4994,Sadachbia/γ_Aqr
574131,-105171,Iklil/ρ_Sco
135496,87724,Maia/20_Tau
355658,93625,Rasalas/μ_Leo
105856,-32033,Azha/η_Eri
443944,-2400,Zaniah/η_Vir
347914,-4114,Ukdah/ι_Hya
561316,-53242,Zubenelhakrabi/γ_Lib
765494,18892,Kitalpha/α_Equ
314811,65356,Asellus_Australis/δ_Cnc
697583,-160052,Arkab_Prior/β1_Sgr
698332,-146217,Rukbat/α_Sgr
158422,-122461,Beemim/υ3_Eri
143379,128848,Menkib/ξ_Per
483135,197957,Alcor/80_UMa
254465,74053,Mekbuda/ζ_Gem
437048,-89024,Alchiba/α_Crv
166908,-51494,Sceptrum/53_Eri
41031,-198885,Wurren/ζ_Phe
739928,40692,Aldulfin/ε_Del
151119,-24615,Beid/ο1_Eri
513609,-21602,Syrma/ι_Vir
395865,-65876,Alkes/α_Crt
569244,65310,Gudja/κ_Ser
58078,149060,Titawin/υ_And
689683,-136456,Meridiana/α_CrA
254255,-56280,Muliphein/γ_CMa
354887,-53448,Zhang/υ1_Hya
135796,86214,Merope/23_Tau
326175,169763,Alkaphrah/κ_UMa
802100,-28020,Ancha/θ_Aqr
511737,-36985,Kang/κ_Vir
513830,165918,Xuange/λ_Boo
452245,148887,Chara/β_CVn
301701,155477,Alsciaukat/31_Lyn
323092,42688,Acubens/α_Cnc
794275,232661,Kurhah/ξ_Cep
697931,-161279,Arkab_Posterior/β2_Sgr
63236,32968,Torcular/ο_Psc
135125,88082,Taygeta/19_Tau
554694,134558,Alkalurops/μ1_Boo
343032,82685,Alterf/λ_Leo
114978,71016,Botein/δ_Ari
631330,311711,Yildun/δ_UMi
708058,64850,Sham/α_Sge
406909,113505,Alula_Australis/ξ_UMa
630443,93998,Maasym/λ_Her
843228,84255,Alkarab/υ_Peg
692255,140925,Aladfar/η_Lyr
153163,-27550,Keid/ο2_Eri
701223,88794,Anser/α_Vul
311254,12029,Minchir/σ_Hya
830326,13752,Fumalsamakah/β_Psc
583197,-70059,Jabbah/ν_Sco
515466,-48136,Khambalia/λ_Vir
100745,105290,Lilii_Borea/39_Ari
591250,50520,Cujam/ω_Her
637164,259736,Dziban/ψ1_Dra
840382,85465,Salm/τ_Peg
681732,15133,Alya/θ1_Ser
33999,213052,Castula/υ2_Cas
313971,77287,Asellus_Borealis/γ_Cnc
703416,250780,Alsafi/σ_Dra
295328,63532,Tegmine/ζ1_Cnc
